city_id,city_name,consumers,population,estimated_rent,city_rank,customer_id,customer_name,sale_id,sale_date,total,rating,product_id-2,product_name,price,month
4,Jaipur,1000000,4000000,10800,8,143,Aditya Mishra,34,04-01-2023,450,5,5,Coffee Drip Bags (10 Bags),450,Jan
4,Jaipur,1000000,4000000,10800,8,177,Krishna Agarwal,32,04-01-2023,900,2,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
5,Delhi,7750000,31000000,22500,3,205,Aarav Mehta,39,04-01-2023,200,3,27,Personalized Coffee Spoon,200,Jan
10,Surat,1800000,7200000,13500,10,375,Navya Joshi,33,04-01-2023,450,5,5,Coffee Drip Bags (10 Bags),450,Jan
11,Lucknow,950000,3800000,9000,11,398,Navya Desai,38,04-01-2023,200,2,27,Personalized Coffee Spoon,200,Jan
1,Bangalore,3075000,12300000,29700,1,12,Ananya Kumar,44,05-01-2023,320,4,14,Vanilla Coffee Syrup (250ml),320,Jan
1,Bangalore,3075000,12300000,29700,1,34,Diya Kapoor,40,05-01-2023,700,5,9,Organic Green Coffee Beans (500g),700,Jan
1,Bangalore,3075000,12300000,29700,1,34,Diya Kapoor,43,05-01-2023,450,5,13,Mocha Flavored Coffee Mix (200g),450,Jan
2,Chennai,2775000,11100000,17100,6,59,Ananya Desai,45,05-01-2023,800,5,20,Coffee Bean Storage Canister,800,Jan
4,Jaipur,1000000,4000000,10800,8,188,Rudra Reddy,42,05-01-2023,550,5,11,Cold Brew Concentrate (500ml),550,Jan
12,Kanpur,775000,3100000,8100,12,419,Ishita Patel,41,05-01-2023,550,4,11,Cold Brew Concentrate (500ml),550,Jan
1,Bangalore,3075000,12300000,29700,1,3,Aditi Gupta,55,06-01-2023,250,5,23,Customizable Coffee Coaster Set,250,Jan
1,Bangalore,3075000,12300000,29700,1,9,Aditya Sharma,50,06-01-2023,300,5,12,Caramel Syrup (250ml),300,Jan
1,Bangalore,3075000,12300000,29700,1,10,Aditya Singh,51,06-01-2023,450,4,13,Mocha Flavored Coffee Mix (200g),450,Jan
1,Bangalore,3075000,12300000,29700,1,29,Dhruv Mehta,57,06-01-2023,600,5,25,Coffee Recipe Book,600,Jan
2,Chennai,2775000,11100000,17100,6,69,Aryan Nair,52,06-01-2023,350,5,15,Coffee Mug (Ceramic),350,Jan
3,Pune,1875000,7500000,15300,9,118,Riya Kumar,47,06-01-2023,450,5,5,Coffee Drip Bags (10 Bags),450,Jan
3,Pune,1875000,7500000,15300,9,125,Vivaan Singh,54,06-01-2023,650,5,21,Insulated Travel Mug,650,Jan
3,Pune,1875000,7500000,15300,9,131,Meera Shah,49,06-01-2023,750,5,8,Flavored Coffee Pods (Pack of 10),750,Jan
3,Pune,1875000,7500000,15300,9,133,Abhay Singh,46,06-01-2023,350,5,1,Ground Espresso Coffee (250g),350,Jan
4,Jaipur,1000000,4000000,10800,8,150,Arjun Verma,48,06-01-2023,1500,3,7,Specialty Coffee Subscription,1500,Jan
5,Delhi,7750000,31000000,22500,3,219,Ananya Nair,56,06-01-2023,600,2,25,Coffee Recipe Book,600,Jan
12,Kanpur,775000,3100000,8100,12,419,Ishita Patel,53,06-01-2023,500,3,16,Stainless Steel Tumbler,500,Jan
1,Bangalore,3075000,12300000,29700,1,10,Aditya Singh,59,07-01-2023,1200,5,6,French Press Coffee Set,1200,Jan
3,Pune,1875000,7500000,15300,9,97,Aryan Shukla,63,07-01-2023,450,5,18,Reusable Coffee Cup (Eco-friendly),450,Jan
3,Pune,1875000,7500000,15300,9,110,Ishita Reddy,62,07-01-2023,320,5,14,Vanilla Coffee Syrup (250ml),320,Jan
3,Pune,1875000,7500000,15300,9,120,Rudra Nair,61,07-01-2023,450,5,13,Mocha Flavored Coffee Mix (200g),450,Jan
4,Jaipur,1000000,4000000,10800,8,147,Arjun Desai,58,07-01-2023,350,3,1,Ground Espresso Coffee (250g),350,Jan
12,Kanpur,775000,3100000,8100,12,445,Navya Nair,60,07-01-2023,300,2,12,Caramel Syrup (250ml),300,Jan
1,Bangalore,3075000,12300000,29700,1,30,Dhruv Singh,65,08-01-2023,450,5,13,Mocha Flavored Coffee Mix (200g),450,Jan
2,Chennai,2775000,11100000,17100,6,76,Isha Chopra,67,08-01-2023,650,4,21,Insulated Travel Mug,650,Jan
3,Pune,1875000,7500000,15300,9,86,Aditya Desai,69,08-01-2023,250,5,23,Customizable Coffee Coaster Set,250,Jan
3,Pune,1875000,7500000,15300,9,118,Riya Kumar,64,08-01-2023,450,4,13,Mocha Flavored Coffee Mix (200g),450,Jan
5,Delhi,7750000,31000000,22500,3,227,Aryan Rao,68,08-01-2023,400,2,22,Coffee Art Print,400,Jan
5,Delhi,7750000,31000000,22500,3,263,Krishna Mehta,66,08-01-2023,500,2,16,Stainless Steel Tumbler,500,Jan
6,Mumbai,5100000,20400000,31500,2,297,Gauri Sharma,70,08-01-2023,250,3,23,Customizable Coffee Coaster Set,250,Jan
1,Bangalore,3075000,12300000,29700,1,4,Aditi Joshi,73,09-01-2023,600,4,17,Coffee-Themed T-Shirt,600,Jan
1,Bangalore,3075000,12300000,29700,1,9,Aditya Sharma,71,09-01-2023,900,4,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
1,Bangalore,3075000,12300000,29700,1,33,Diya Joshi,74,09-01-2023,650,4,21,Insulated Travel Mug,650,Jan
3,Pune,1875000,7500000,15300,9,130,Ayaan Patel,76,09-01-2023,200,4,27,Personalized Coffee Spoon,200,Jan
4,Jaipur,1000000,4000000,10800,8,148,Arjun Gupta,72,09-01-2023,550,2,11,Cold Brew Concentrate (500ml),550,Jan
4,Jaipur,1000000,4000000,10800,8,202,Arjun Gupta,75,09-01-2023,400,3,22,Coffee Art Print,400,Jan
2,Chennai,2775000,11100000,17100,6,49,Aditi Malhotra,80,10-01-2023,750,4,8,Flavored Coffee Pods (Pack of 10),750,Jan
2,Chennai,2775000,11100000,17100,6,65,Arjun Mishra,79,10-01-2023,750,5,8,Flavored Coffee Pods (Pack of 10),750,Jan
2,Chennai,2775000,11100000,17100,6,74,Diya Shukla,84,10-01-2023,800,4,20,Coffee Bean Storage Canister,800,Jan
2,Chennai,2775000,11100000,17100,6,78,Isha Kapoor,78,10-01-2023,600,4,4,Coffee Beans (500g),600,Jan
3,Pune,1875000,7500000,15300,9,112,Krishna Sharma,77,10-01-2023,250,5,3,Instant Coffee Powder (100g),250,Jan
3,Pune,1875000,7500000,15300,9,118,Riya Kumar,86,10-01-2023,300,4,28,Coffee-Themed Notebook,300,Jan
4,Jaipur,1000000,4000000,10800,8,135,Aarav Kumar,83,10-01-2023,450,3,18,Reusable Coffee Cup (Eco-friendly),450,Jan
4,Jaipur,1000000,4000000,10800,8,191,Saanvi Kumar,81,10-01-2023,450,4,13,Mocha Flavored Coffee Mix (200g),450,Jan
5,Delhi,7750000,31000000,22500,3,242,Mira Joshi,82,10-01-2023,600,2,17,Coffee-Themed T-Shirt,600,Jan
6,Mumbai,5100000,20400000,31500,2,284,Vihaan Shukla,85,10-01-2023,400,4,22,Coffee Art Print,400,Jan
11,Lucknow,950000,3800000,9000,11,417,Anika Joshi,88,10-01-2023,300,4,28,Coffee-Themed Notebook,300,Jan
13,Nagpur,725000,2900000,7200,13,467,Vihaan Joshi,87,10-01-2023,300,2,28,Coffee-Themed Notebook,300,Jan
1,Bangalore,3075000,12300000,29700,1,18,Arjun Rao,92,11-01-2023,300,5,12,Caramel Syrup (250ml),300,Jan
1,Bangalore,3075000,12300000,29700,1,39,Ishita Agarwal,97,11-01-2023,500,4,24,Tote Bag with Coffee Design,500,Jan
2,Chennai,2775000,11100000,17100,6,61,Ananya Reddy,95,11-01-2023,400,5,22,Coffee Art Print,400,Jan
2,Chennai,2775000,11100000,17100,6,77,Isha Desai,94,11-01-2023,800,5,20,Coffee Bean Storage Canister,800,Jan
3,Pune,1875000,7500000,15300,9,91,Arjun Kapoor,91,11-01-2023,1200,4,6,French Press Coffee Set,1200,Jan
3,Pune,1875000,7500000,15300,9,93,Arjun Mehta,96,11-01-2023,400,4,22,Coffee Art Print,400,Jan
3,Pune,1875000,7500000,15300,9,95,Arjun Sharma,89,11-01-2023,350,4,1,Ground Espresso Coffee (250g),350,Jan
4,Jaipur,1000000,4000000,10800,8,149,Arjun Nair,90,11-01-2023,600,5,4,Coffee Beans (500g),600,Jan
4,Jaipur,1000000,4000000,10800,8,171,Isha Patel,93,11-01-2023,500,2,16,Stainless Steel Tumbler,500,Jan
1,Bangalore,3075000,12300000,29700,1,32,Diya Desai,99,12-01-2023,1200,4,6,French Press Coffee Set,1200,Jan
2,Chennai,2775000,11100000,17100,6,62,Ananya Sharma,102,12-01-2023,600,4,17,Coffee-Themed T-Shirt,600,Jan
2,Chennai,2775000,11100000,17100,6,71,Dhruv Nair,105,12-01-2023,650,4,21,Insulated Travel Mug,650,Jan
3,Pune,1875000,7500000,15300,9,98,Aryan Sinha,100,12-01-2023,320,4,14,Vanilla Coffee Syrup (250ml),320,Jan
5,Delhi,7750000,31000000,22500,3,217,Ananya Joshi,101,12-01-2023,320,5,14,Vanilla Coffee Syrup (250ml),320,Jan
6,Mumbai,5100000,20400000,31500,2,294,Isha Nair,104,12-01-2023,300,5,19,Glass Coffee Jar (500ml),300,Jan
9,Kolkata,3725000,14900000,16200,7,364,Vivaan Sharma,98,12-01-2023,250,5,3,Instant Coffee Powder (100g),250,Jan
11,Lucknow,950000,3800000,9000,11,402,Shaurya Agarwal,103,12-01-2023,450,2,18,Reusable Coffee Cup (Eco-friendly),450,Jan
12,Kanpur,775000,3100000,8100,12,427,Mira Pandey,106,12-01-2023,500,3,24,Tote Bag with Coffee Design,500,Jan
2,Chennai,2775000,11100000,17100,6,44,Aarav Rao,108,13-01-2023,900,5,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
3,Pune,1875000,7500000,15300,9,109,Ishita Kapoor,111,13-01-2023,400,5,22,Coffee Art Print,400,Jan
3,Pune,1875000,7500000,15300,9,114,Mira Chopra,113,13-01-2023,600,4,25,Coffee Recipe Book,600,Jan
3,Pune,1875000,7500000,15300,9,117,Mira Sharma,110,13-01-2023,400,4,22,Coffee Art Print,400,Jan
3,Pune,1875000,7500000,15300,9,128,Mira Nair,112,13-01-2023,250,4,23,Customizable Coffee Coaster Set,250,Jan
5,Delhi,7750000,31000000,22500,3,228,Aryan Verma,107,13-01-2023,350,2,1,Ground Espresso Coffee (250g),350,Jan
5,Delhi,7750000,31000000,22500,3,243,Navya Agarwal,109,13-01-2023,350,5,15,Coffee Mug (Ceramic),350,Jan
1,Bangalore,3075000,12300000,29700,1,14,Ananya Mehta,122,14-01-2023,500,5,24,Tote Bag with Coffee Design,500,Jan
2,Chennai,2775000,11100000,17100,6,55,Aditya Agarwal,120,14-01-2023,400,5,22,Coffee Art Print,400,Jan
2,Chennai,2775000,11100000,17100,6,74,Diya Shukla,117,14-01-2023,350,5,15,Coffee Mug (Ceramic),350,Jan
3,Pune,1875000,7500000,15300,9,89,Ananya Rao,115,14-01-2023,450,5,13,Mocha Flavored Coffee Mix (200g),450,Jan
3,Pune,1875000,7500000,15300,9,107,Isha Nair,116,14-01-2023,320,5,14,Vanilla Coffee Syrup (250ml),320,Jan
3,Pune,1875000,7500000,15300,9,125,Vivaan Singh,118,14-01-2023,350,5,15,Coffee Mug (Ceramic),350,Jan
5,Delhi,7750000,31000000,22500,3,221,Ananya Sinha,114,14-01-2023,250,5,3,Instant Coffee Powder (100g),250,Jan
5,Delhi,7750000,31000000,22500,3,254,Shaurya Gupta,123,14-01-2023,300,3,28,Coffee-Themed Notebook,300,Jan
6,Mumbai,5100000,20400000,31500,2,283,Vihaan Patel,121,14-01-2023,250,3,23,Customizable Coffee Coaster Set,250,Jan
10,Surat,1800000,7200000,13500,10,383,Saanvi Mishra,119,14-01-2023,450,5,18,Reusable Coffee Cup (Eco-friendly),450,Jan
1,Bangalore,3075000,12300000,29700,1,9,Aditya Sharma,127,15-01-2023,300,4,19,Glass Coffee Jar (500ml),300,Jan
1,Bangalore,3075000,12300000,29700,1,12,Ananya Kumar,126,15-01-2023,500,5,16,Stainless Steel Tumbler,500,Jan
2,Chennai,2775000,11100000,17100,6,63,Ananya Shukla,124,15-01-2023,1500,4,7,Specialty Coffee Subscription,1500,Jan
3,Pune,1875000,7500000,15300,9,83,Aarav Patel,129,15-01-2023,800,4,20,Coffee Bean Storage Canister,800,Jan
4,Jaipur,1000000,4000000,10800,8,176,Ishita Mishra,125,15-01-2023,750,2,8,Flavored Coffee Pods (Pack of 10),750,Jan
4,Jaipur,1000000,4000000,10800,8,182,Mira Verma,130,15-01-2023,900,5,26,Coffee Plant Kit (DIY),900,Jan
9,Kolkata,3725000,14900000,16200,7,367,Mira Sharma,128,15-01-2023,800,4,20,Coffee Bean Storage Canister,800,Jan
1,Bangalore,3075000,12300000,29700,1,1,Aarav Agarwal,135,16-01-2023,1500,5,7,Specialty Coffee Subscription,1500,Jan
1,Bangalore,3075000,12300000,29700,1,6,Aditi Verma,144,16-01-2023,500,5,24,Tote Bag with Coffee Design,500,Jan
2,Chennai,2775000,11100000,17100,6,43,Aarav Nair,137,16-01-2023,1500,4,7,Specialty Coffee Subscription,1500,Jan
2,Chennai,2775000,11100000,17100,6,51,Aditi Patel,132,16-01-2023,450,5,5,Coffee Drip Bags (10 Bags),450,Jan
2,Chennai,2775000,11100000,17100,6,70,Aryan Reddy,141,16-01-2023,320,5,14,Vanilla Coffee Syrup (250ml),320,Jan
2,Chennai,2775000,11100000,17100,6,72,Diya Agarwal,133,16-01-2023,450,4,5,Coffee Drip Bags (10 Bags),450,Jan
2,Chennai,2775000,11100000,17100,6,74,Diya Shukla,131,16-01-2023,250,5,3,Instant Coffee Powder (100g),250,Jan
3,Pune,1875000,7500000,15300,9,105,Diya Pandey,143,16-01-2023,400,5,22,Coffee Art Print,400,Jan
3,Pune,1875000,7500000,15300,9,115,Mira Kumar,142,16-01-2023,300,4,19,Glass Coffee Jar (500ml),300,Jan
3,Pune,1875000,7500000,15300,9,120,Rudra Nair,136,16-01-2023,1500,5,7,Specialty Coffee Subscription,1500,Jan
4,Jaipur,1000000,4000000,10800,8,175,Ishita Malhotra,145,16-01-2023,900,5,26,Coffee Plant Kit (DIY),900,Jan
5,Delhi,7750000,31000000,22500,3,238,Kiara Malhotra,140,16-01-2023,320,2,14,Vanilla Coffee Syrup (250ml),320,Jan
5,Delhi,7750000,31000000,22500,3,241,Krishna Sinha,134,16-01-2023,450,5,5,Coffee Drip Bags (10 Bags),450,Jan
11,Lucknow,950000,3800000,9000,11,409,Krishna Singh,138,16-01-2023,1500,4,7,Specialty Coffee Subscription,1500,Jan
14,Indore,825000,3300000,6300,14,478,Kiara Kumar,139,16-01-2023,700,3,9,Organic Green Coffee Beans (500g),700,Jan
1,Bangalore,3075000,12300000,29700,1,4,Aditi Joshi,151,17-01-2023,600,4,17,Coffee-Themed T-Shirt,600,Jan
1,Bangalore,3075000,12300000,29700,1,23,Aryan Patel,152,17-01-2023,500,4,24,Tote Bag with Coffee Design,500,Jan
2,Chennai,2775000,11100000,17100,6,68,Aryan Mishra,146,17-01-2023,350,5,1,Ground Espresso Coffee (250g),350,Jan
3,Pune,1875000,7500000,15300,9,85,Aditi Mishra,150,17-01-2023,600,4,17,Coffee-Themed T-Shirt,600,Jan
3,Pune,1875000,7500000,15300,9,102,Diya Chopra,147,17-01-2023,1500,4,7,Specialty Coffee Subscription,1500,Jan
3,Pune,1875000,7500000,15300,9,118,Riya Kumar,153,17-01-2023,500,4,24,Tote Bag with Coffee Design,500,Jan
3,Pune,1875000,7500000,15300,9,120,Rudra Nair,155,17-01-2023,300,4,28,Coffee-Themed Notebook,300,Jan
4,Jaipur,1000000,4000000,10800,8,200,Tanvi Pillai,149,17-01-2023,1800,2,10,Coffee Gift Hamper,1800,Jan
5,Delhi,7750000,31000000,22500,3,240,Krishna Malhotra,154,17-01-2023,200,2,27,Personalized Coffee Spoon,200,Jan
10,Surat,1800000,7200000,13500,10,378,Navya Shukla,148,17-01-2023,700,4,9,Organic Green Coffee Beans (500g),700,Jan
1,Bangalore,3075000,12300000,29700,1,1,Aarav Agarwal,158,18-01-2023,250,4,3,Instant Coffee Powder (100g),250,Jan
1,Bangalore,3075000,12300000,29700,1,39,Ishita Agarwal,160,18-01-2023,1800,4,10,Coffee Gift Hamper,1800,Jan
2,Chennai,2775000,11100000,17100,6,65,Arjun Mishra,162,18-01-2023,550,4,11,Cold Brew Concentrate (500ml),550,Jan
3,Pune,1875000,7500000,15300,9,93,Arjun Mehta,159,18-01-2023,1500,4,7,Specialty Coffee Subscription,1500,Jan
3,Pune,1875000,7500000,15300,9,101,Dhruv Sinha,157,18-01-2023,250,5,3,Instant Coffee Powder (100g),250,Jan
3,Pune,1875000,7500000,15300,9,115,Mira Kumar,156,18-01-2023,250,5,3,Instant Coffee Powder (100g),250,Jan
5,Delhi,7750000,31000000,22500,3,208,Aditi Chopra,166,18-01-2023,600,3,17,Coffee-Themed T-Shirt,600,Jan
5,Delhi,7750000,31000000,22500,3,252,Saanvi Nair,163,18-01-2023,320,4,14,Vanilla Coffee Syrup (250ml),320,Jan
5,Delhi,7750000,31000000,22500,3,265,Navya Chopra,164,18-01-2023,500,5,16,Stainless Steel Tumbler,500,Jan
10,Surat,1800000,7200000,13500,10,370,Ishita Joshi,168,18-01-2023,300,3,28,Coffee-Themed Notebook,300,Jan
12,Kanpur,775000,3100000,8100,12,431,Rudra Desai,161,18-01-2023,550,3,11,Cold Brew Concentrate (500ml),550,Jan
12,Kanpur,775000,3100000,8100,12,439,Krishna Rao,167,18-01-2023,200,3,27,Personalized Coffee Spoon,200,Jan
14,Indore,825000,3300000,6300,14,484,Riya Chopra,165,18-01-2023,500,5,16,Stainless Steel Tumbler,500,Jan
1,Bangalore,3075000,12300000,29700,1,16,Arjun Malhotra,176,19-01-2023,800,4,20,Coffee Bean Storage Canister,800,Jan
2,Chennai,2775000,11100000,17100,6,40,Aarav Chopra,174,19-01-2023,300,4,12,Caramel Syrup (250ml),300,Jan
2,Chennai,2775000,11100000,17100,6,69,Aryan Nair,175,19-01-2023,320,5,14,Vanilla Coffee Syrup (250ml),320,Jan
3,Pune,1875000,7500000,15300,9,103,Diya Malhotra,169,19-01-2023,350,4,1,Ground Espresso Coffee (250g),350,Jan
4,Jaipur,1000000,4000000,10800,8,136,Aarav Reddy,171,19-01-2023,450,4,5,Coffee Drip Bags (10 Bags),450,Jan
4,Jaipur,1000000,4000000,10800,8,136,Aarav Reddy,173,19-01-2023,550,4,11,Cold Brew Concentrate (500ml),550,Jan
4,Jaipur,1000000,4000000,10800,8,175,Ishita Malhotra,170,19-01-2023,450,5,5,Coffee Drip Bags (10 Bags),450,Jan
5,Delhi,7750000,31000000,22500,3,260,Kiara Sinha,177,19-01-2023,250,4,23,Customizable Coffee Coaster Set,250,Jan
10,Surat,1800000,7200000,13500,10,392,Mira Malhotra,172,19-01-2023,1200,4,6,French Press Coffee Set,1200,Jan
1,Bangalore,3075000,12300000,29700,1,10,Aditya Singh,187,20-01-2023,900,4,26,Coffee Plant Kit (DIY),900,Jan
2,Chennai,2775000,11100000,17100,6,58,Ananya Chopra,181,20-01-2023,250,5,3,Instant Coffee Powder (100g),250,Jan
2,Chennai,2775000,11100000,17100,6,71,Dhruv Nair,179,20-01-2023,350,4,1,Ground Espresso Coffee (250g),350,Jan
2,Chennai,2775000,11100000,17100,6,76,Isha Chopra,183,20-01-2023,450,4,13,Mocha Flavored Coffee Mix (200g),450,Jan
3,Pune,1875000,7500000,15300,9,84,Aarav Sinha,180,20-01-2023,900,5,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
4,Jaipur,1000000,4000000,10800,8,169,Isha Kumar,178,20-01-2023,350,3,1,Ground Espresso Coffee (250g),350,Jan
4,Jaipur,1000000,4000000,10800,8,177,Krishna Agarwal,186,20-01-2023,500,5,24,Tote Bag with Coffee Design,500,Jan
4,Jaipur,1000000,4000000,10800,8,186,Rudra Agarwal,182,20-01-2023,700,5,9,Organic Green Coffee Beans (500g),700,Jan
6,Mumbai,5100000,20400000,31500,2,276,Mira Mishra,185,20-01-2023,500,3,16,Stainless Steel Tumbler,500,Jan
12,Kanpur,775000,3100000,8100,12,424,Kiara Singh,184,20-01-2023,450,5,13,Mocha Flavored Coffee Mix (200g),450,Jan
1,Bangalore,3075000,12300000,29700,1,1,Aarav Agarwal,193,21-01-2023,500,4,24,Tote Bag with Coffee Design,500,Jan
1,Bangalore,3075000,12300000,29700,1,33,Diya Joshi,190,21-01-2023,300,5,19,Glass Coffee Jar (500ml),300,Jan
2,Chennai,2775000,11100000,17100,6,45,Aarav Sharma,191,21-01-2023,650,4,21,Insulated Travel Mug,650,Jan
3,Pune,1875000,7500000,15300,9,83,Aarav Patel,192,21-01-2023,400,4,22,Coffee Art Print,400,Jan
3,Pune,1875000,7500000,15300,9,85,Aditi Mishra,189,21-01-2023,450,5,18,Reusable Coffee Cup (Eco-friendly),450,Jan
4,Jaipur,1000000,4000000,10800,8,167,Diya Verma,194,21-01-2023,500,2,24,Tote Bag with Coffee Design,500,Jan
5,Delhi,7750000,31000000,22500,3,205,Aarav Mehta,195,21-01-2023,900,4,26,Coffee Plant Kit (DIY),900,Jan
8,Ahmedabad,2075000,8300000,14400,5,339,Navya Gupta,188,21-01-2023,350,5,15,Coffee Mug (Ceramic),350,Jan
1,Bangalore,3075000,12300000,29700,1,11,Ananya Gupta,199,22-01-2023,300,4,19,Glass Coffee Jar (500ml),300,Jan
1,Bangalore,3075000,12300000,29700,1,18,Arjun Rao,196,22-01-2023,350,4,1,Ground Espresso Coffee (250g),350,Jan
1,Bangalore,3075000,12300000,29700,1,39,Ishita Agarwal,202,22-01-2023,650,5,21,Insulated Travel Mug,650,Jan
2,Chennai,2775000,11100000,17100,6,75,Isha Agarwal,203,22-01-2023,900,4,26,Coffee Plant Kit (DIY),900,Jan
3,Pune,1875000,7500000,15300,9,121,Rudra Rao,201,22-01-2023,800,5,20,Coffee Bean Storage Canister,800,Jan
3,Pune,1875000,7500000,15300,9,124,Vivaan Desai,198,22-01-2023,750,5,8,Flavored Coffee Pods (Pack of 10),750,Jan
4,Jaipur,1000000,4000000,10800,8,181,Mira Nair,200,22-01-2023,800,2,20,Coffee Bean Storage Canister,800,Jan
4,Jaipur,1000000,4000000,10800,8,193,Vihaan Reddy,204,22-01-2023,200,2,27,Personalized Coffee Spoon,200,Jan
7,Hyderabad,2500000,10000000,22500,4,305,Rudra Kumar,197,22-01-2023,900,4,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
1,Bangalore,3075000,12300000,29700,1,19,Arjun Reddy,206,23-01-2023,1200,4,6,French Press Coffee Set,1200,Jan
1,Bangalore,3075000,12300000,29700,1,30,Dhruv Singh,205,23-01-2023,900,5,2,Cold Brew Coffee Pack (6 Bottles),900,Jan
2,Chennai,2775000,11100000,17100,6,59,Ananya Desai,209,23-01-2023,500,4,16,Stainless Steel Tumbler,500,Jan
2,Chennai,2775000,11100000,17100,6,81,Isha Sharma,213,23-01-2023,900,5,26,Coffee Plant Kit (DIY),900,Jan
